"thumbnail","id","title","description","rating","rating/accuracy","rating/checking","rating/cleanliness","rating/communication","rating/guestSatisfaction","rating/location","rating/reviewsCount","rating/value","price/breakDown/basePrice/description","price/breakDown/basePrice/price","price/breakDown/cleaningFee","price/breakDown/earlyBirdDiscount","price/breakDown/earlyBirdDiscount/description","price/breakDown/earlyBirdDiscount/price","price/breakDown/serviceFee","price/breakDown/specialOffer","price/breakDown/specialOffer/description","price/breakDown/specialOffer/price","price/breakDown/taxes","price/breakDown/taxes/description","price/breakDown/taxes/price","price/breakDown/total/description","price/breakDown/total/price","price/breakDown/totalBeforeTaxes","price/discountedPrice","price/label","price/originalPrice","price/price","price/qualifier","coordinates/latitude","coordinates/longitude","url"
"https://a0.muscache.com/im/pictures/miso/Hosting-704177550111928546/original/e6cd2d26-9249-4567-b23f-9d24d04c5545.jpeg?im_w=720&width=720&quality=70&auto=webp","704177550111928546","P""m""P.10: Rooftop Hidden Gem* Incredible City view","This beautiful loft is located right in the heart of downtown  . It has  a gorgeous private outdoor bathtub with a spectacular city view . Moreover, expansive windows and an open layout combine that give this apartment  a light and spacious ambiance.The space- This place is  on 7th floor of the building with elevator ,- Bedroom has 1 queen size bed with comfy mattress .- A spacious beautiful bathroom with an outdoor private bathtub that make you feel so relaxing - A nice and modern kitchen which is fully stocked with coffee, tea, and kitchen appliances that you can easy to prepare for your own meal. Moreover, this apt still has a small garden patio for you to smoke or need some fresh air.Guest accessAll equipment and facilities are provided for your usage and the apartment's keys upon arrival for 24/24h access.",,"4.97","4.98","4.96","5","4.97","4.84","267","4.9","5 nights x $100.22","$501.11",,,,,,,,,,,,"Total (calculated price, may vary)","$501",,,"$502 for 5 nights",,"$502","for 5 nights","10.76596","106.69963","https://www.airbnb.com/rooms/704177550111928546?locale=en-US&currency=USD&check_in=2025-01-01&check_out=2025-11-01"
"https://a0.muscache.com/im/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6MTE5MDMzMTE2OTgyNTgzNzkwNw%3D%3D/original/65dbfc68-f7c2-4b6d-bf25-95812921566f.jpeg?im_w=720&width=720&quality=70&auto=webp","1190331169825837907","6.Luxury Big Studio- Infinity Pool/Gym in Center","Brand New project which is located nearby with District 1High-end and 100% newly studio with fully amenities including: infinity pool,sauna.,laundry, bathroom, free wifi, kitchen, dining table, co-working space, party room,...★Estimated time by taxi- 10 minutes to Notre Dame Cathedral- 5 minutes to Ben Thanh Market- 5 minutes to Bitexco building- 15 minutes to The Landmark 81 buildingThe spaceThe apartment is a 39m2 Big studio in a luxury building near the center of Saigon.Our modern and lovely apartment is fully rented, so it's just you staying in the apartment, not sharing with anyone else.Enjoy your trip with our amenities:PLACE TO SLEEP: Queen size bed with spring mattress, so it's very comfortable and soft. Bed linen and towels are provided.KITCHEN: The kitchen is fully equipped with everything you will need when preparing meals from induction stove, microwave, refrigerator, rice cooker... to silverware, cutting board or knives and scissors.BATHROOM AND TOILET: There is a shower with good water pressure in the bathroom. In case you need to wash clothes, you can use the washing machine on the balcony. Hairdryers and irons are also available.- FREE INFINITE SWIMMING POOL on the 16th floor for free.- FREE WIFI with high speed- Overlooking the river- Hairdryer- Essential items (Towels, bed sheets, soap, shampoo, shower gel and toilet paper)- Washing machine- Tableis - TV with Youtube- Air conditioner- Fridge- Microwave oven- Dishes and dishes- The entire apartment view looks towards the river, southeast direction, very warm sunlight. You can enjoy sitting on the bed watching Netflix & movie from smart big screen TV 43 inch.- Nice Gym and an additional swimming pool on the ground floor along with a series of other amenities such as billiards, air-conditioned common office, skateboarding area, sauna, etc.- You don't need to buy anythings extra when stay in my place. All necessary amenities are available in the apt.Guest accessGROUND FLOOR - Outdoor Facilities1. Parking Lot2. Guardhouse3. Security Gate4. Relaxing Hammocks5. Green Mulfi-purpose Area6. Skate Plaza7. Outdoor Working Space8. Lap Pool 50m9. Jacuzzi10. Pool Deck11. Pool Bar12. Kid's Pool13. Kids Slide Tube14. Musical Play Park15. Outdoor Shower16. Picnic LawnINDOOR FACILITIES17. Sync Space (Co-Working]FLOOR 14Indoor Faeilities1. Changing RoomOutdoor Facilities2. Celestial Garden3. Symphony Stairs4. Sky Theatre5. Zen Gardern ROOFTOP.Outdoor Facllities6. Jazz Pool7. Sky Jacuzzi8. Suweet Daybed9. Jazz Terrace10. Sun Bed11. Tea Pavilion12. Outdoor Shower13. Pool Cabana14. Duet Hammoek15. Vertical Garden16. Tranquil AreaOther things to note★ This is a Homestay, NOT a hotel.We will try our best to bring you enjoyable experiences, but we cannot do the same as hotels.We do not change towels or clean daily.Instead, there is a washing machine inside the apartment, you can wash and reuse towels.We offer 1 free cleaning service per week for stays from 7 days.For subsequent cleaning requests, an additional fee will be charged.★ Do not use drugs or engage in any illegal activities in the house.Thank you for your understanding^^## USEFUL Q&A Q&A:Question: Where to exchange money or withdraw Vietnamese Dong?Answer: You can exchange money right at the airport.Question: How many minutes by taxi from the apartment to the airport & how much does it cost?Answer: About 30 minutes and 8.5 USD ≈ 200,000 VND (Please choose an official taxi brand such as Mai Linh, Vinasun and Grab)Q: Late check-in and early check-in?A: Please let us know your expectations and I will fully cooperate with you.Q: How to buy a mobile SIM card?Answer: You can buy it at the airport in Vietnam.Please message me if you have any other questions",,"4.92","4.92","4.81","4.98","4.94","4.62","98","4.88","5 nights x $50.84","$254.19",,,,,,,,,,,,"Total (calculated price, may vary)","$254",,"$255","$255 for 5 nights, originally $289","$289","$255","for 5 nights","10.753201","106.692986","https://www.airbnb.com/rooms/1190331169825837907?locale=en-US&currency=USD&check_in=2025-01-01&check_out=2025-11-01"
"https://a0.muscache.com/im/pictures/miso/Hosting-1046815628130412131/original/e0a7ffed-29f8-4d6f-9e99-9dea6c49aac4.jpeg?im_w=720&width=720&quality=70&auto=webp","1046815628130412131","Funky Studio M above Craft Coffee by Circadian","Newly built, launched in Dec 2023!Located in a quiet alley in downtown Saigon, our cozy studio combines a unique design with whimsical charm.  Amenities include fully equipped kitchen, bathroom with rain shower, Netflix & blazing fast wifi .At ground, you can enjoy a snack or coffee at the Hai Cai Tay Cafe. We also have a washer/dryer for our in-house guests.We are right next to the Wink Hotel & in walking distance to many restaurants, cafes, and bars.The spaceOur professionally designed apartment has been designed for your convenience and comfort.There's a fully equipped kitchen, comfortable sofa, dining table, bathroom with rain shower, and work desk and chair. Amenities include:-  LG Smart TV with Netflix-  Bluetooth speaker-  Ultrafast wireless internet-  Complimentary coffee and tea bar with several coffee and tea makers, and fresh Arabica beans and tea leaves-  Filtered drinking water-  Queen bed with 4 pillows-  Hotel-quality bed linens and towels- 2-seated sofa-  Full kitchen>>> Refrigerator with freezer>>> Stove, microwave and water kettle>>> Complete set of pots and pans, plates, bowls, cups and utensils>>>Basic condiments-  Ensuite bathroom with>>>Rain shower with hand spray>>>Bidet toilet>>>Toiletries provided including toothbrush, soap and shampooOn the ground floor, guests can enjoy a snack or delicious drink at the beautifully designed coffee shop. The cafe has a chill and cozy vibe.In addition, all guests can use the front-loading washer and dryer on the ground floor. Please note this unit is on the mezzanine floor, opposite a sitting area of the cafe. If you are very sensitive with noise during the daytime, we suggest you choose one of our units on the higher floors.Our unit is one of seven units in the building. Access is via stairsThe building is in a quiet alley in central Saigon next to the Wink Hotel.You will find many cafes, restaurants, shopping and bars on the nearby streets of Nguyen Van Thu and along the canal street (Hoang Sa).If this room is not available for your dates, we have 6 other units at this location. Please contact us directly and we can help you book a stay.Guest accessGuests will have the entire unit to themselves, including bathroom, kitchen and coffee bar. The only shared amenity is the washer/dryer which is located on the ground floor.Other things to notePlease note there is a construction in the area until the end of November. Work is from 7AM - 5PM (break 12-1PM). The heavy stage is done, and the rest is mostly lighter work. So far, we haven’t received any guest complaints, but it would be nice to keep you informed. We also provide earplugs and white noise if needed, please don’t hesitate to let us know.Please message us first if you are interested in having a photoshoot at our unit.Our building has a ground, a mezzanine and 3 floors above. Access is via stairs. Guests will walk through the cafe to get to the stairs. Please note this unit is on the mezzanine floor, opposite a sitting area of the cafe. If you are very sensitive with noise during the daytime, we suggest you choose one of our units on the higher floors.The building is open 24 hours a day.There is no elevator. If you need assistance with luggage, please inform our hosts.This is one of 7 units in the building.",,"4.93","4.93","4.91","4.96","4.92","4.84","95","4.83","5 nights x $26.53","$132.63",,,,,,,,,,"Taxes","$10.61","Total","$143.24",,"$144","$144 for 5 nights, originally $192","$192","$144","for 5 nights","10.79253","106.70078","https://www.airbnb.com/rooms/1046815628130412131?locale=en-US&currency=USD&check_in=2025-01-01&check_out=2025-11-01"
"https://a0.muscache.com/im/pictures/miso/Hosting-1130820184224317486/original/a17f39da-83e2-45c6-9404-2c298a1018af.jpeg?im_w=720&width=720&quality=70&auto=webp","1130820184224317486","B11: 1BR City Center - w Balcony","At this modern and functional studio, you will discover aesthetic minimalist design with a spacious private space and arrangement of functional furnitures and organisers that are carefully studied to offer you a convenient and scientific living.The spaceTucked away at the end of a very quiet alley of a bustling street in District 1, our building is newly built, open to all guests from April 2024. No matter it’s work or vacation, our beautiful interiors are designed for style, comfort and function so you will feel at home in no time. You will love the open space and natural sunlight that the studio apartment has to offer.Like every amenity in our property, your suite is designed and run by us with great care. With mattress and topper featuring design informed by sleep and posture research, gentle to touch bath towels and 90+ CRI lighting, these spaces are set up to offer indulging relaxation.Guest accessSEAMLESS CHECK-IN/OUTEnjoy a quick and simple arrival as you can self check-in to the studio apartment 24/7. Door code will be provided prior to check-in date.AMENITIES & SERVICESThe studio apartment comes with:- Fully equipped kitchen- 90+CRI rating lighting with non-flickering Samsung COB LED chip- Smart TV with Netflix- High-speed WiFi (300+ Mbps)- Ensuite bathroom with strong 2.5 bar water pressure, bidet toilet and bath essentials - The best pillows, mattresses, topper and linens- Weekly free room service- Working desk with chair- Full size clothes closet with safe - Private BalconyShared spaces include: - Laundry room on ground floor: 2 sets of washing machines, dryers, steam and conventional iron and ironing board. Complimentary use for in-house guests - Free parking space for your motorbikes on the ground floor inside the building- Rooftop balcony on top floorOther things to note- Our building has a ground floor and 3 floors above. Shared laundry room will be on the ground floor and top floor will be a shared rooftop balcony. This unit is on the third floor accessible by stairs. The building is open 24 hours a day and self check-in is available. - We do not have elevator but rest-assured, if you need assistance with luggages during check-in and check-out, please inform us. Our staff will be on duty 24/7 to help you. - If you arrive earlier than check-in time, you can store your luggage with us. - Please note that we are not able to accept bookings for photo shooting, filming purposes or use of prohibited items.- Strict no-smoking policy in the studio apartment and shared spaces inside the building. - ID/Passports will be required for registration as per local regulations.- If this studio apartment is not available for your requested date, please kindly message us and we will help you book other studio apartments in the same building. We have altogether 8 units in this building.",,"4.99","4.97","4.96","5","4.98","4.9","97","4.96","5 nights x $45.00","$225.00",,,,,,,,,,,,"Total (calculated price, may vary)","$225",,,"$225 for 5 nights",,"$225","for 5 nights","10.7857413","106.6995085","https://www.airbnb.com/rooms/1130820184224317486?locale=en-US&currency=USD&check_in=2025-01-01&check_out=2025-11-01"
"https://a0.muscache.com/im/pictures/miso/Hosting-1425899556206659577/original/140dc752-7bb4-49f7-b47f-69ef266c1d47.jpeg?im_w=720&width=720&quality=70&auto=webp","1425899556206659577","11:11 Mustang Boutique @BenThanh","Not for Everyone. Only for Those Who Know.Center City : 400m to Bến Thành. 150m to Bánh Mì Huỳnh Hoa. 300m to Bùi Viện.Comfortable Apartment: 40m² with balcony, bathtub (hot water), Netflix, free laundry, basic kitchen, air-conFree Vietnamese iced coffee. Soft bed. Fast Wi-Fi.Not a party house—just charm, stillness, and soul.For those who travel to feel, not just see.Welcome. You found it.The space🌟 Not for Everyone. Only for Those Who Know.Tucked in the pulse of Saigon, exactly 400m from Bến Thành Market, 150m from Bánh Mì Huỳnh Hoa, and a lazy 300m stroll from Bùi Viện, this isn't just a place to crash. It's a curated experience for the rare kind — the vintage souls, the bathtub philosophers, the balcony coffee poets.🏠 Three Rooms, One Story⚠️ PLEASE NOTE: There are 3 rooms available. Both rooms are identical for 201 and 301. Room 401 has a smaller room but a huge outdoor balcony with an outdoor bathtub. Please see the last 14 photos for room 401. You would need to talk to us, as it's subject to availability. If you did not specify the room upon booking, a random room of the 3 rooms will be assigned to you. Why This Place Matters📍 Location That Speaks: You're not just in the center — you're in the right center. Five minutes on foot to Ben Thanh's organized chaos. Fifteen minutes to Pham Ngu Lao's backpacker symphony. Everything flows from this wide, safe alley where middle-class locals have called home since Saigon's independence. Senior citizens with stories, boutique shops with character, and the kind of neighborhood warmth that money can't manufacture.The Space That Understands: Your own 40m² sanctuary in a newly renovated building. A balcony where sunlight spills like gold and the city hums beneath you. A bathtub with real hot water — because some days demand disappears completely. A bed soft like regret after 3 AM texting. Netflix is ready for your drama, comedy, or existential documentary of choice.The Price That Makes Sense: While other Airbnbs in this location cost double, we believe luxury should be accessible to those who truly appreciate it.✨ What Awaits YouThe Essentials, Elevated:• ☕ Vietnamese iced coffee every morning — on the house. Sweet, strong, unapologetic like the city  • Free 50Mb/s WiFi (fast enough to stream, Zoom, or stalk your ex in 4K)  • Full kitchen with refrigerator, electric stove, and all cooking essentials  • Free laundry service (because clean shirts shouldn't cost your soul)  • Air conditioning for Saigon's passionate climate  The Experiences:• 🎬 Hollywood movies and Netflix Premium on our Dolby Vision projector  • Soak in our bathtub while watching films — romantic movie nights, redefined  • 🍷 Our curated wine list available at honest prices for evening wind-downs  • Explore local Vietnamese life scattered around the city center  The Details That Matter:• Accommodates up to 3 guests (2 on a bed, 1 on a quality floor mattress 1.2m x 1.8m). Please let us know in advance if you need the extra mattress so we can prepare it for you.• Complete toiletries: wipes, toothpaste, toothbrush, shampoo, shower gel  • Hair dryer and premium bath amenities  • Walking distance to Reunification Palace, Japanese Town, Vincom Plaza  This Is For You If...You notice how light hits old wood. You crave a good soak and quiet nights more than neon cocktails. You understand that ""center city"" means convenience and elegance, not chaos. You see beauty in worn tiles, value space over selfies, and travel not just to see, but to feel.This is not a party house. It doesn't do glow sticks or foam. But it does charm. It does slow mornings, silk robes, and handwritten notes. It does the authentic Saigon experience, where you'll never go hungry (local food available 24/7) and you'll always feel safe.So if you're someone who travels with intention, who appreciates the curated over the commercial — welcome. You found it.Like what you see? Book now and discover why those who know choose this place.Guest access- Guest access is available 24/7.  - Self-check-in is easy with a smart lock, allowing you to check in and out at any time without worry.  - There is an elevator for you- The property is located in a newly renovated private building, centrally situated in Ho Chi Minh City. Please note that it is not a 5-star luxury condo.Other things to note**All bookings are strictly non-refundable. Airbnb has given plenty of notice when you're paying and accepting the terms and conditions. Please verify your booking details before booking. Thank you. **Due to popular demand, we are offering additional services to help our guests and, for your convenience, with low prices.1. Bus Or Train Ticket Purchase ( Mui Ne, Nga Trang, Da Lat, Danang )2. Motorcycle Rental 3. Airport Pickup Service ( They will wait for you until you arrive and bring you to our doorstep ) 4. Tour Package ( 1 day - 3 days tour, Food Tour, Walking Tour )5. Personal tour guide ( experimental service). We offer a tour guide who will follow you around for 6 hours and he will translate everything between you and food vendors and shop owners or anyone basically and ensure you’ll get good prices and not be cheated. This service is based on feedback from our constant guests being overcharged especially if you’re a Westerner. Please send us a message and we will arrange everything for you. It’s part of our service to provide you with an easy, budget-friendly, and relaxing trip - you don’t have to worry about anything.",,"4.82","4.82","4.78","4.82","4.86","4.88","49","4.82","5 nights x $36.80","$184.00",,,,,,,,,,,,"Total","$175.05",,,"$176 for 5 nights",,"$176","for 5 nights","10.7721155","106.6933868","https://www.airbnb.com/rooms/1425899556206659577?locale=en-US&currency=USD&check_in=2025-01-01&check_out=2025-11-01"
"https://a0.muscache.com/im/pictures/hosting/Hosting-1493340841743199943/original/0e307adb-dcb4-44b6-8673-680bb62f6e98.jpeg?im_w=720&width=720&quality=70&auto=webp","1493340841743199943","Luxury2BR/2BA/High-Rise Infinity Pool/Gym/Central","It is designed in Contemporary style located on high floor of D1Mension Residences building, center of District 1.With an area of 90m2, a prime location near Bui Vien, Ben Thanh Market and Nguyen Hue walking street as well as moving extremely easily to Cho Lon - China town IN THE world!When you stay with us, you'll have access to top-notch amenities such as:	•	SWIMMING POOL AT ROOFTOP OF THE BUILDING	• 	MODERN GYM	•	SAUNA ROOM	• 	BBQ SPACEThe spaceThe space	•	Our apartment with 90m² with 2 bedrooms and 1 large living room is right in the city center.	•	Spacious space can be in a group of 6 members with equipped with 1 Sofabed + 1 Standard Sofa set in the living room, high ceiling with balcony and plenty of sunlight.Travel Distance:	•	10 mins to Notre Dame Cathedral	•	1 minutes to Ben Thanh Market	•	15 mins to Bitexco Building	•	15 mins to The Landmark 81	•	30 mins to Tan Son Nhat International Airport	•	10 mins to Takashimaya centre	•	15 mins to Vincom Center Dong Khoi	•	10 min to Nguyen HueUtilities in the apartment:	• 	High-end furnishings with comfortable bedding sets	• 	Free Youtube / Wifi	• 	Free change of towels upon guest request (please give notice)	• 	Smart TV	•	High speed WiFi	•	Fully-equipped kitchen	•	Spacious living room with balcony	•	2 Large Beds + 1 Sofabed (full quilts and pillows)	•	Fully equipped with living utensils: towels, toothbrush, shampoo, shower gel, hair dryer, iron, clothes hangers…	•	Washer dryer (2in1) + laundry detergentHigh-end facilities in the building:	• 	Luxury Swimming Pool at the Rooftop	• 	Modern GYM	•	Garden BBQ area	•	Private Office Room	• 	Library Room (1st floor)	•	Co-working room (meeting room)	•	Kid's play area right in the buildingOther:	• 	Paid car and motorbike parking in the basement	• 	Easy Self-check-in (detailed instruction will be sent 1 day prior)	•	24/7 support: Customer support team is available – from booking, travel information, laundry services, and personal support.Guest accessGuests have access to all building facilities such as swimming pool , gym, working room.....",,"5","4.93","5","5","5","4.87","15","4.93","5 nights x $86.93","$434.67",,,,,,,,,,,,"Total (calculated price, may vary)","$435",,,"$435 for 5 nights",,"$435","for 5 nights","10.754426283118132","106.68658204504679","https://www.airbnb.com/rooms/1493340841743199943?locale=en-US&currency=USD&check_in=2025-01-01&check_out=2025-11-01"
"https://a0.muscache.com/im/pictures/hosting/Hosting-1235381201807167628/original/e1ce6c6e-22f5-421e-9fff-2dd4ffae4e43.jpeg?im_w=720&width=720&quality=70&auto=webp","1235381201807167628","Xi-Măng Studio near Buivien street | Em’s Home 2","Welcome to Em’s Home, where you can experience Saigon at its best. Our stylish studio is located right in the central of Saigon and has been fully and beautifully renovated. The apartment situated on a small alley with windows of full natural light. The design of studio inspired by the hustle and bustle of city, a never-sleep dynamic Saigon city. Besides, we trying to bring the nature closer to your stay through windows filled with lush greenery. We hope you feel at home when staying here.The space-Check-in: 14:00/ Check-out: 11:00 (Local time).-Queen size bed with comfortable mattress and 4 pillows.- An air-conditioner, a private bath, a kitchen and a 55-inch Google wireless TV  with high-speed Wi-Fi, Netflix are included.-A wash/dry machine also ready.-2 bottles of water are free in the fridge for guests. -Just a short walk to Bui Vien street, Ben Thanh market. There are many coffee shops and restaurants around the apartment. The apartment is just a few minutes away from many of the city’s main tourist attractions, especially Bui Vien Street. Take your time to enjoy some essences of the city and see you around!Guest access-This is self check-in/check-out apartment. House key code will be provided before the trip.Other things to note-The house consists of a ground floor and a first floor. This studio is on the 1st floor of the house.-The studio is located in a quiet alley (Alley 137, Cong Quynh street). It takes just a minute to get in (About 50 meters).-Xi-Măng Studio & Gạch-Đỏ Studio are located in the same building.-The studio is located right above a small coffee shop. The music of the coffee shop is chill and not too loud. It can also be a place for you to wait before it’s time to check in.",,"4.96","4.98","4.96","4.99","4.96","4.89","91","4.92","5 nights x $64.39","$321.97",,,,,,,,,,,,"Total (calculated price, may vary)","$322",,,"$322 for 5 nights",,"$322","for 5 nights","10.765846378828972","106.68897069990635","https://www.airbnb.com/rooms/1235381201807167628?locale=en-US&currency=USD&check_in=2025-01-01&check_out=2025-11-01"
"https://a0.muscache.com/im/pictures/hosting/Hosting-1507743144525356291/original/c24ee000-e6d9-406d-9a56-ead9332aed4a.jpeg?im_w=720&width=720&quality=70&auto=webp","1507743144525356291","【NEW SALE】 Suite 1BR With Open View on 49F","જ⁀➴ ♡ Welcome to KAY'S HOME જ⁀➴ ♡In order to make your stay in Saigon (Ho Chi Minh city, Vietnam) as pleasant as possible we provide the following services:♡ FREE Airport pick-up (for reservation from 2 nights, from Tan Son Nhat Airport to The KAY'S HOME in Vinhomes Central Park from 8:00AM - 23:00PM)In case your arrival time is not during our service time, you can choose Airport Drop-off instead.♡ FREE Netflix♡ FREE travel book & map♡ FREE GYMᥫᩣ Swimming Pool on the ground floorThe spaceThe apartment is brand new, Landmark PLUS built 2018. The room is very spacious 83sqm, comfortably fits 4-5 guests.The apartment comes with:- FREE Hi-speed WIFI and A/C in all rooms- FREE Outdoor swimming pool- FREE Indoor gym- Non-smoking rooms- Queen size beds- Bedsheets, blankets, duvets- Bath towels and hand towels- Smart TV in the living room and the master bedroom- Fridge / freezer- Rice cooker- Kettle- Plates, forks and spoons- Glasses, mugs- Warm shower 24/7- Wardrobe and hangers- Worktable desk- Washing machine- Building security- Elevator- Vending machine in the lobby- Hair-dryer & Ironing facilities- Shampoo, body gel, toothpaste, toothbrush, toilet papers, hand soap- Keyless accessYou are staying in the CBD of Saigon, right outside of your window is LANDMARK 81 - Vietnam's tallest building - the 8th tallest building in the world. Besides free amenities provided to our guests, there are plenty of restaurants and cafes around the corner, not to mention the 24/7 convenience stores can be found right under your building. Even though you have all those entertainment features around, your apartment is still very cozy and quiet so that you can truly relax after an exhausting day exploring the city.Guest accessYou are welcome to use the building facilities including:- The swimming pool on the ground floor (free). Opening hours: 6:00AM-12:00PM, 2:00PM-22:00PM- Lounge on the ground floor (free)- GYM and Yoga center on floor 1 (free)- Parking area on basement (paid)- Full building access 24/7.Other things to note✮✮  FREE Airport pick-up (for reservation from 2 nights, from Tan Son Nhat Airport to The KAY'S HOME in Vinhomes Central Park from 8:30AM - 22:00PM)In case your arrival time is not during our service time, you can choose Airport Drop-off instead.✮✮Damage deposit: 1000.000VND - The customers need to deposit an amount of 1000,000VND upon check-in and we will refund it when customers check out.✮✮ SELF CHECKIN: please get elevator card at mailbox & use passcode provied on Airbnb to enter the door✮✮ CHECK-IN : We'll meet and support the guest check-in 24/7.✮✮  CHECK OUT: Please leave Elevator Card on the table, turn off all electricities and close the door.✮✮  GUIDEBOOK: please read our guidebook on Airbnb for more information for your trip: Where to visit, eat and shop!",,"5","5","4.89","5","5","5","9","5","5 nights x $69.28","$346.38",,,,,,,,,,,,"Total","$317.88",,"$318","$318 for 5 nights, originally $347","$347","$318","for 5 nights","10.79773","106.72","https://www.airbnb.com/rooms/1507743144525356291?locale=en-US&currency=USD&check_in=2025-01-01&check_out=2025-11-01"
"https://a0.muscache.com/im/pictures/hosting/Hosting-1537351235422398355/original/67e2ed71-c479-44c4-9111-7ae970ac8a13.jpeg?im_w=720&width=720&quality=70&auto=webp","1537351235422398355","Modern Hotel & Serviced Apt in Phu My Hung Center","✯ Just 5 minutes to SECC Exhibition Center by Grab (~$1.5) or taxi (~$2.5).✯ Located in Phu My Hung, District 7, on Bùi Bằng Đoàn street – ideal for short & long-term stays.✯ Steps from SkyGarden residential area & WinMart supermarket for convenient shopping.✯ Western, Korean, & Asian restaurants nearby – just a few steps✯ Close to Vivo City & Crescent Mall – perfect for shopping, dining, & entertainment.✯ Modern hotel-style serviced apartment, fully furnished for comfort & convenience.The spaceThis cozy PRIVATE SUITE is located at Phu My Hung, Dist.7, Ho Chi Minh City. The Thinh Vuong Apartment has 8 private and family suites altogether, in case you need more for a group.✯ All room has balcony.✯ Queen-sized bed, private bathroom with bath tube, working table, small kitchen with electric stove, refrigerator and sink.✯ Total private space inside the apartment is approximate 34m2.✯ Guests have 24/7 access to the building and room with private card.✯ This is completely a serviced apartment/hotel-like.Guest accessWe will provide the access code to guest 6 hours before arrival.Other things to note✯ Please let me know your arrival time for best preparation.✯ 1 month stay are able for getting daily laundry with 20$ surcharge/pax/month or 30$ surcharge/2pax/month (limit a washing bag per day per pax). An annual stay contract is available and price on negotiation.✯ Laundry service fee: 3$/kg (casual clothes). Clothes return by next day from 1pm to 5pm (apply for at least 3 nights for return clothes).",,"5","5","5","5","5","5","1","5","5 nights x $16.45","$82.23",,,,,,,,,,,,"Total (calculated price, may vary)","$82",,,"$83 for 5 nights",,"$83","for 5 nights","10.733783228451498","106.70727140489349","https://www.airbnb.com/rooms/1537351235422398355?locale=en-US&currency=USD&check_in=2025-01-01&check_out=2025-11-01"
"https://a0.muscache.com/im/pictures/hosting/Hosting-1513022342050920810/original/a114d418-864b-489d-a88e-ebcc487aed89.jpeg?im_w=720&width=720&quality=70&auto=webp","1513022342050920810","Genesis, 2Brs(3 Beds)+2Wc, View Bitexco+River+City","✨68m² luxury apartment in the center of Saigon, million dollar view towards Bitexco,Landmark 81 and the whole city.Only about 300m to Bui Vien walking street, 500m to Ben Thanh market.The apartment includes 2 bedrooms(3 beds),2 bathrooms. Spacious living room, suitable for relaxing or working. Cozy design like a second home. Below the building there are 7-Eleven,GS25, pharmacy,.. 👉 This is the perfect choice for a vacation, business trip or to experience the vibrant life in the center of SaigonThe space✨ Welcome to luxury apartment in the heart of HCMC ✨With a prime location, just a few steps to tourist attractions, restaurants, and shopping malls, our apartment offers the comforts and comforts of home:	• 	Contemporary🏙️ design, 24/7 automatic check-in	•	🛌 Spacious bedroom, 2 queen beds and 1 king bed, 25cm soft natural latex mattress, microfiber pillows and premium bedding of Riotex	• 	Fully furnished🍽️ kitchen, easy to cook	•	📺 Smart TV 55” OLED, free Netflix, high speed WiFi	•	🧺 Handy washing machine – dryer, iron	•	💬 24/7 customer support👉 Book today to enjoy a great vacation in the heart of Saigon! ❤️Guest accessThe guests will have access to the entire apartment including the balcony and the main lobby and a paid parking in the building for 6k (0.25USD) a day for motocycle.Other things to noteThe building has security staff in the lobby for 24/24 security and also to assist guests with luggage.",,"5","4.91","5","5","5","5","11","5","5 nights x $93.67","$468.33",,,,,,,,,,,,"Total (calculated price, may vary)","$468",,"$469","$469 for 5 nights, originally $524","$524","$469","for 5 nights","10.76231","106.69797","https://www.airbnb.com/rooms/1513022342050920810?locale=en-US&currency=USD&check_in=2025-01-01&check_out=2025-11-01"
